id,colonia
1,Roma Norte
2,Obrera
3,Doctores
4,Tlaxpana
5,Agricola Pantitlan
6,Popular Rastro
7,C T M Aragon
8,Campestre Aragon
9,Gabriel Ramos Millan Secc Tlacotal
10,Cerrillos Primera Seccion
11,Barrio San Miguel
12,Pueblo San Lorenzo Tezonco
13,Celoalliotli
14,Ejercito De Agua Prieta
15,Chinampac De Juarez
16,Santa Martha Acatitla Norte
17,Santiago Acahualtepec 1a Ampliaciën
18,Pueblo San Jose Zacatepec
19,Desarrollo Urbano Quetzalcoatl
20,Juan Escutia
21,Pueblo Santa Maria Nativitas
22,Popotla
23,Merced Gomez
24,Providencia
25,Belem De Las Flores
26,Narciso Mendoza
27,San Francisco Culhuacan Barrio De Santa Ana
28,Pedregal De Santo Domingo
29,Claveria
30,El Manto
31,Paraje San Juan Cerro
32,Centro
33,Viejo Ejido Santa Ursula Coapa
34,Pedregal De San Nicolas 1a Seccion
35,Tablas De San Agustin
36,San Juan De Aragon V Seccion
37,Morelos
38,Del Recreo
39,Pueblo Santa Martha Acatitla
40,Loma La Palma
41,Barrio San Mateo
42,San Pedro El Chico
43,Haciendas De Coyoacan
44,Ex-Ejido La Magdalena Mixhuca
45,Industrial Vallejo
46,Lorenzo Boturini
47,Ejidos De San Pedro Martir
48,Selene
49,Selene Del Pueblo San Francisco Tlaltenco
50,La Cruz
51,Renovacion
52,Polanco Iv Seccion
53,Pueblo Santa Maria Malinalco
54,Jardin Balbuena
55,Quiahuatla
56,Los Picos
58,Anahuac I Seccion
59,Nativitas
60,San Jose Tlahuac Del Pueblo San Pedro Tlahuac
61,Los Alpes
62,Del Valle Sur
63,Jardines Del Pedregal
64,Heroes De Padierna
65,Ampliacion Fuentes Del Pedregal
66,Lomas De Memetla
67,Pensador Mexicano
68,Unidad Santa Cruz Meyehualco
69,San Lorenzo La Cebada
70,Paraje Zacatepec
71,Santa Maria Aztahuacan
72,Campestre Churubusco
73,Pueblo San Bernabe Ocotepec
74,Ampliacion Gabriel Hernandez
75,Pueblo San Miguel Ajusco
76,San Pedro De Los Pinos
77,Pueblo Santiago Tepalcatlalpan
78,El Coyol
79,Puebla
80,7 De Noviembre
81,Barrio La Purisima Ticoman
82,Michoacana
83,5to Tramo 20 De Noviembre
84,Tepeyac Insurgentes
85,Lindavista Vallejo 3a Seccion
86,Tierra Nueva
87,Pasteros
88,Juarez
89,San Juan Tepeximilpa
90,Diamante
91,Pueblo Tizapan
92,Xalpa
93,Pueblo Santa Rosa Xochiac
94,Viaducto Piedad
95,Pueblo San Andres Totoltepec
96,Pueblo San Pedro Martir
97,Pueblo San Miguel Xicalco
98,Fernando Casas Aleman
99,Granada
100,Santa Isabel Tola
101,Barrio San Antonio
102,Tacubaya
103,Residencial Zacatenco
104,Ampliacion Daniel Garza
105,Pedregal De Carrasco
106,Nueva Rosita
107,La Angostura
108,Zentlapatl
109,Contadero
110,Miguel Hidalgo 3a Seccion
111,Vallejo
112,Culhuacan Ctm Seccion Vii
113,La Malinche
114,El Ocotal
115,La Draga
116,Jardines En La Montaña
117,La Esperanza
118,Santa Fe Cuajimalpa
119,Barrio San Francisco Xicaltongo
120,Cristo Rey
121,Lomas De Bezares
122,Pedregal De San Nicolas 4a Seccion
123,Agricola Oriental
124,Ciudad De Los Deportes
125,Pueblo San Francisco Tetecala
126,La Era
127,Martires De Rio Blanco
128,San Salvador Xochimanca
129,El Capulin
130,Apatlaco
131,Narvarte Oriente
132,D M Nacional
133,Tlacamaca
134,Real Del Monte
135,Santa Rosa
136,Vallejo Poniente
137,Pueblo San Gregorio Atlapulco
